"ObjectId","Zupanija","Zarazenih","Umrlih","Aktualisiert"
"1","Bjelovarsko-bilogorska","348","3","2020-10-11"
"2","Brodsko-posavska","679","6","2020-10-11"
"3","Dubrovačko-neretvanska","816","15","2020-10-11"
"4","Grad Zagreb","4493","72","2020-10-11"
"5","Istarska","496","12","2020-10-11"
"6","Karlovačka","472","4","2020-10-11"
"7","Koprivničko-križevačka","264","17","2020-10-11"
"8","Krapinsko-zagorska županija","610","2","2020-10-11"
"9","Ličko-senjska","257","2","2020-10-11"
"10","Međimurska","306","0","2020-10-11"
"11","Osječko-baranjska","1264","45","2020-10-11"
"12","Požeško-slavonska","489","2","2020-10-11"
"13","Primorsko-goranska","827","17","2020-10-11"
"14","Šibensko-kninska","593","6","2020-10-11"
"15","Sisačko-moslavačka","511","4","2020-10-11"
"16","Splitsko-dalmatinska","4403","79","2020-10-11"
"17","Varaždinska","307","4","2020-10-11"
"18","Virovitičko-podravska","329","4","2020-10-11"
"19","Vukovarsko-srijemska","1088","11","2020-10-11"
"20","Zadarska","820","9","2020-10-11"
"21","Zagrebačka ","1068","10","2020-10-11"
